text,created_at,id,user,downtime
@albertheijn Ligt bezorgservice plat?,10/08/2014 14:08:57,498471065434472000,Els2,1
"@albertheijn hallo mensen, jullie site is kapudt. Nu kan ik niet koken.....",10/08/2014 14:16:14,498472895992311000,Anne Baarda,1
@albertheijn volgens mij doet de website het niet... zo/10/aug/16:35,10/08/2014 14:26:56,498475588467036000,Lara Lawless,1
@albertheijn wanneer is de albert site weer te bereiken? Hij is down,10/08/2014 14:58:18,498483485229993000,Cindy Nugteren,1
@albertheijn Ik heb inlog problemen met jullie webshop. Ik kan niet inloggen danwel aanmelden. Is er een technische bug?,10/08/2014 19:03:17,498545135396093000,Les Mackenzie,1
@albertheijn Is er een storing met Plaza?,15/08/2014 14:08:10,500282804383793000,Cengizhan Kayaalp,1
"@albertheijn ""Albert Heijn website Storing Sorry, wegens (gepland) onderhoud is de website tijdelijk niet beschikbaar."" Er gaat iets mis?",15/08/2014 16:49:22,500323372996517000,Jorne Scheerstra,1
@albertheijn wanneer doet de website het weer,15/08/2014 17:13:33,500329457673330000,wim,1
@albertheijn Waarom is de website af?? Ik moet treinkaartjies en een vakantie verzilwer vanavond! Zielig...,15/08/2014 17:44:14,500337179613495000,Platolanie,1
@albertheijn helaas moet ik mijn boodschappen voor 23.59 in orde hebben maar jullie site ligt plat... #ennu???,15/08/2014 19:42:31,500366948711297000,Hendrike,1
@AFCAjax lekker dan. Mailenover presale en dan meteen je server plat... #presale #CL #WZAWZDB http://t.co/5RwrMfx3Gd,14/08/2014 07:36:03,499821737966829000,Vince Balk,1
@AT5 legt ff plat,02/08/2014 12:39:03,495549335686619000,Anne,1
@AT5 Keken de homo's van de techniek teveel naar de boten in plaats van naar de knoppen?,02/08/2014 12:40:33,495549714696531000,Hendrik-Jan Bleumink,1
"@Belastingdienst De MijnToeslagensite is down, bent u hiervan op de hoogte? Er is een fout opgetreden. Kies 'Ok' om terug te keren naar..",25/08/2014 14:52:40,503917883714715000,Sietze Faber,1
@Caiway hoe is de stand van zaken? Ik lig al 9 uur plat met m'n bedrijf. Graag een tijdslimiet doorgeven van de storingsduur. Bvd,25/08/2014 18:21:08,503970346589237000,Richard Duijvesteijn,1
@facebook is down hahahah,01/08/2014 16:06:51,495239243460255000,opulo,1
@facebook is down muhahahah,01/08/2014 16:06:51,495239243460255000,opulo,1
@GVB_klanten dank u. All1 de ov app is rg traag met de melding,15/08/2014 10:20:07,500225414506500000,afca wanrooij,1
"@Hostnet_Webcare Jullie moeten wel eens wat aan jullie downtime doen, weet niet wat er aan de hand is, maar afgelopen 2 dagen veel down.",09/08/2014 17:08:11,498153782858219000,Dave Heijmans,1
"@ingnl mijningzakelijk zijn zowel via internet als de mobiele app onbereikbaar :(  , en ja internet werkt hier gewoon ;)",12/08/2014 08:00:32,499103126004457000,Roderick van Straten,1
"@ingnl http://t.co/IOrVywru6u is onbereikbaar, en zowel de Windows Phone- en IOS-app kunnen niet inloggen.",12/08/2014 10:16:51,499137428926787000,Klaes Helaes,1
@ingnl klopt het dat ik nu niet op http://t.co/gWEbb4oai7 kan komen. Geeft aan dat website onbereikbaar is,12/08/2014 11:35:33,499157235189424000,Edwin :),1
"@ingnl vanaf ziggo is ing iig onbereikbaar, via 4g van tmobile wel bereikbaar ;)",12/08/2014 12:38:37,499173107882811000,Evert van Harten,1
@ingnl is er storing bij mijn ing? Kan niet  via de app en niet via de gewone site inloggen..,12/08/2014 13:11:11,499181301640212000,Lisa,1
@ingnl de app werkt nogsteeds niet,12/08/2014 14:18:41,499198290907656000,joelle djyliano,1
@ingnl ook de site werkt nog niet,12/08/2014 14:19:24,499198469501095000,joelle djyliano,1
@ingnl In kan niet in loggen via de app en de site. Hoe kan dit??,12/08/2014 21:29:25,499306686260449000,Jeffrey Modderkolk,1
@ingnl is er nog steeds een storing mijn mijning en waar vind ik de status op de klantenservice website?,12/08/2014 21:39:26,499309207716659000,Stijn Grove,1
@ingnl ligt t inloggen op de site eruit?,12/08/2014 22:11:55,499317381840535000,Emi,1
"@ingnl nee, ik ben in NL Het ligt echt aan jullie site. Er zijn waarschijnlijk al even geen kinderrekeningen meer geopend online, wil niet.",13/08/2014 06:03:50,499436143117893000,Manuela,1
@ingnl ik had uurtje geleden al gebeld. Toen lag daar het systeem ook plat. Is dat gefixt? Mijn ING doet het nog niet,25/08/2014 12:12:18,503877525228228000,Christian Peper,1
@ingnl inlogpagina alweer plat? #fijnebank,27/08/2014 11:40:02,504594182007427000,Freeda (Henk Veen),1
@instagram is down hahahah,01/08/2014 16:12:11,495240586312810000,opulo,1
@instagram is DOWN. #theworldhascometoanend hahahahhaah,28/08/2014 19:54:45,505081067242807000,Kim Beatrice,1
